PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.053 uM,Activity at 0.263 uM,Activity at 1.320 uM,Activity at 6.580 uM,Activity at 32.90 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
257,17508973,9594209,Active,51,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000554490-01,,Activator,3.5481,224.795,,Partial curve; high efficacy,-5.45,3.5722,1,237.998,13.2034,2.1,0 0 0 1,-1.0089,,12.4488,19.6296,215.578,-1.0089,QC'd by Asinex Ltd.
258,17509052,1914872,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000567516-01,,Activator,14.1254,213.339,,Partial curve; high efficacy,-4.85,4.9549,0.9999,218.615,5.2758,2.1,0 0 0 0,215.596,,4.565,6.9256,9.7487,215.596,QC'd by Asinex Ltd.
259,17509075,3138348,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000567536-01,,Activator,11.2202,186.959,,Partial curve; high efficacy,-4.95,4.5045,0.9982,197.389,10.4301,2.1,0 0 0 0,195.823,,6.1849,15.4785,25.0255,195.823,QC'd by Asinex Ltd.
260,17509103,856019,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000567559-01,,Activator,11.2202,230.134,,Partial curve; high efficacy,-4.95,1.8579,0.9974,223.108,-7.0254,2.1,0 0 0 0,196.744,,-11.9411,3.4603,53.0014,196.744,QC'd by Asinex Ltd.
261,17509124,2290279,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000567575-01,,Activator,14.1254,82.5295,,Partial curve; high efficacy,-4.85,4.095,0.9995,83.8796,1.3501,2.1,0 0 0 0,81.5329,,0.0342,2.2201,5.075,81.5329,QC'd by Asinex Ltd.
262,17509184,844036,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000569524-01,,Activator,10,89.9628,,Partial curve; high efficacy,-5,3.5117,0.9943,93.5568,3.594,2.1,0 0 0 0,92.265,,7.6103,-0.1381,20.5719,92.265,QC'd by Asinex Ltd.
263,17509360,4218679,Active,68,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000583578-01,,Activator,3.1623,560.218,,Partial curve; high efficacy,-5.5,3.9295,1,562.867,2.6496,2.1,0 0 0 1,-7.4816,,3.1072,20.257,533.018,-7.4816,QC'd by Chem Div
264,17509766,7289711,Active,48,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585197-01,,Activator,15.8489,507.791,,Partial curve; high efficacy,-4.8,4.9549,1,506.15,-1.6403,2.1,0 0 0 0,493.324,,-3.4367,-0.5116,5.1816,493.324,QC'd by Chem Div
265,17510072,5824801,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000586413-01,,Activator,10,72.8684,,Partial curve; partial efficacy,-5,3.99,1,67.9908,-4.8776,2.2,1 0 0 0,67.212,,378.076,-4.7357,6.3627,67.212,QC'd by Chem Div
266,17510301,12005168,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000583211-01,,Activator,19.9526,232.921,,Partial curve; high efficacy,-4.7,4.9549,0.9946,243.009,10.0886,2.1,0 0 0 0,225.009,,0.8181,20.0003,9.4662,225.009,QC'd by Chem Div
267,17510302,12005169,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000583210-01,,Activator,19.9526,444.05,,Partial curve; high efficacy,-4.7,4.9549,0.9989,454.529,10.4792,2.1,0 0 0 0,420.86,,17.9131,1.692,12.4769,420.86,QC'd by Chem Div
268,17510446,12005204,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000583082-01,,Activator,12.5893,65.5399,,Partial curve; partial efficacy,-4.9,3.2475,0.9931,70.4559,4.916,2.2,0 0 0 0,67.7288,,8.0078,1.8891,12.5237,67.7288,QC'd by Chem Div
269,17510633,12005287,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000583125-01,,Activator,12.5893,285.628,,Partial curve; high efficacy,-4.9,4.095,0.9975,281.159,-4.4692,2.1,0 0 0 0,275.646,,4.4223,-12.1174,13.5128,275.646,QC'd by Chem Div
270,17510830,208719,Active,48,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585898-01,,Activator,3.9811,167.606,,Partial curve; high efficacy,-5.4,2.8473,1,178.411,10.8043,2.1,0 0 0 1,5.8905,,10.7069,18.2255,145.76,5.8905,QC'd by Chem Div
271,17510948,135517005,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585897-01,,Activator,3.5481,111.128,,Partial curve; high efficacy,-5.45,2.3031,1,110.74,-0.3878,2.1,0 0 0 1,2.6493,,0.2847,9.7407,89.1628,2.6493,QC'd by Chem Div
272,17511197,135517015,Active,93,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585468-01,,Activator,1.7783,206.586,,Complete curve; high efficacy,-5.75,4.9549,0.9267,205.383,-1.2028,1.1,0 0 0 0,168.291,,2.2082,33.3875,242.77,168.291,QC'd by Chem Div
273,17511199,9616086,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585470-01,,Activator,10,174.523,,Partial curve; high efficacy,-5,2.1876,1,168.793,-5.7298,2.1,0 0 0 0,156.29,,-5.4488,-4.1965,44.3456,156.29,QC'd by Chem Div
274,17511204,135517016,Active,58,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585492-01,,Activator,5.0119,460.449,,Partial curve; high efficacy,-5.3,1.4163,0.9997,444.697,-15.7524,2.1,0 0 0 0,416.383,,-9.5773,47.6404,253.137,416.383,QC'd by Chem Div
275,17511215,135419650,Active,56,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585912-01,,Activator,3.5481,338.076,,Partial curve; high efficacy,-5.45,2.5884,0.9999,333.54,-4.536,2.1,0 0 0 1,-22.4673,,-2.6168,18.9478,276.567,-22.4673,QC'd by Chem Div
276,17511256,135517022,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585512-01,,Activator,22.3872,75.4016,,Partial curve; partial efficacy,-4.65,4.9549,0.9984,82.0708,6.6692,2.2,0 0 0 0,72.3009,,5.685,8.4622,5.8303,72.3009,QC'd by Chem Div
277,17511278,135479518,Active,85,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585921-01,,Activator,2.8184,98.4166,,Complete curve; high efficacy,-5.55,4.9549,0.9614,100.308,1.891,1.1,0 0 0 0,87.7039,,7.044,-1.2415,111.453,87.7039,QC'd by Chem Div
278,17511305,135517028,Active,90,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585467-01,,Activator,2.2387,185.102,,Complete curve; high efficacy,-5.65,4.9549,0.9412,179.306,-5.7962,1.1,0 0 0 0,148.785,,-1.301,2.5071,210.453,148.785,QC'd by Chem Div
279,17511341,135420208,Active,85,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000585919-01,,Activator,1.9953,86.1347,,Complete curve; high efficacy,-5.7,3.132,0.9971,89.3191,3.1843,1.1,0 0 0 0,86.5271,,3.9079,20.8967,90.2213,86.5271,QC'd by Chem Div
280,17511400,135517033,Active,57,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000587746-01,,Activator,3.9811,375.051,,Partial curve; high efficacy,-5.4,3.9295,1,383.308,8.2572,2.1,0 0 0 1,-62.0919,,7.7276,13.3105,338.014,-62.0919,QC'd by InterBioScreen
281,17511549,1962220,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000588677-01,,Activator,22.3872,392.817,,Partial curve; high efficacy,-4.65,4.9549,0.9998,404.851,12.0345,2.1,0 0 0 0,355.133,,11.3095,15.8298,11.2904,355.133,QC'd by InterBioScreen
282,17511603,943384,Active,53,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000588209-01,,Activator,3.1623,264.758,,Partial curve; high efficacy,-5.5,3.9295,1,266.01,1.2517,2.1,0 0 0 1,0.434,,1.5571,10.3152,251.903,0.434,QC'd by InterBioScreen
283,17511619,745362,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000589582-01,,Activator,10,163.223,,Partial curve; high efficacy,-5,4.5045,0.9976,159.751,-3.4719,2.1,0 0 0 0,159.432,,1.6287,-7.77,18.0938,159.432,QC'd by InterBioScreen
284,17511710,3742300,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000588224-01,,Activator,22.3872,83.8098,,Partial curve; high efficacy,-4.65,4.9549,0.9953,91.5405,7.7307,2.1,1 0 0 0,80.6006,,24.9144,10.7915,5.2156,80.6006,QC'd by InterBioScreen
285,17511728,12005552,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000587557-01,,Activator,11.2202,215.857,,Partial curve; high efficacy,-4.95,4.5045,0.9996,211.974,-3.8825,2.1,0 0 0 0,210.292,,-1.8251,-6.8545,15.214,210.292,QC'd by InterBioScreen
286,17511733,1931465,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000587549-01,,Activator,22.3872,73.4119,,Partial curve; partial efficacy,-4.65,4.9549,0.9994,88.3494,14.9375,2.2,0 0 0 0,78.7215,,15.5295,15.8437,14.3463,78.7215,QC'd by InterBioScreen
287,17511957,135517059,Active,54,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000587866-01,,Activator,2.8184,268.103,,Partial curve; high efficacy,-5.55,4.9549,1,267.025,-1.078,2.1,0 0 0 1,-17.4544,,-0.8983,5.2045,263.338,-17.4544,QC'd by InterBioScreen
288,17511958,135517060,Active,53,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000587867-01,,Activator,2.8184,252.198,,Partial curve; high efficacy,-5.55,3.0654,1,248.14,-4.0578,2.1,0 0 0 1,-55.2394,,-4.3624,19.4575,231.043,-55.2394,QC'd by InterBioScreen
289,17512051,135398919,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000331148-01,,Activator,10,163.463,,Partial curve; high efficacy,-5,4.9549,0.994,161.983,-1.4803,2.1,0 0 0 0,161.659,,5.9268,-9.0582,17.3782,161.659,QC'd by InterBioScreen
290,17512062,12005584,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000587150-01,,Activator,19.9526,222.096,,Partial curve; high efficacy,-4.7,4.5045,0.9998,226.149,4.0529,2.1,0 0 0 0,204.845,,2.2006,5.975,5.8951,204.845,QC'd by InterBioScreen
291,17512067,2877824,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000587178-01,,Activator,10,73.1719,,Partial curve; partial efficacy,-5,4.4495,0.9996,72.5978,-0.5741,2.2,0 0 0 0,72.3308,,0.2422,-1.4162,8.9553,72.3308,QC'd by InterBioScreen
292,17512154,676369,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000587993-01,,Activator,1.9953,106.133,,Partial curve; high efficacy,-5.7,2.1876,1,90.4927,-15.6408,2.1,0 0 0 1,13.1921,,-14.284,14.5735,83.3262,13.1921,QC'd by InterBioScreen
293,17512260,4209877,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000331050-01,,Activator,11.2202,103.671,,Partial curve; high efficacy,-4.95,1.5936,0.9915,100.383,-3.2878,2.1,0 0 0 0,84.9262,,-6.4332,5.0661,25.5611,84.9262,QC'd by InterBioScreen
294,17512263,3335609,Active,75,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000587077-01,,Activator,3.9811,759.938,,Partial curve; high efficacy,-5.4,4.9549,1,766.955,7.0161,2.1,0 0 0 1,0.4019,,8.5361,9.0044,710.143,0.4019,QC'd by InterBioScreen
295,17512371,911911,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000587155-01,,Activator,12.5893,88.4333,,Partial curve; high efficacy,-4.9,4.5045,1,89.2354,0.8022,2.1,1 0 0 0,88.0034,,25.0748,1.0251,5.2393,88.0034,QC'd by InterBioScreen
296,17512428,135517087,Active,91,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000587702-01,,Activator,3.1623,215.056,,Complete curve; high efficacy,-5.5,2.1876,0.9998,212.495,-2.5618,1.1,0 0 0 0,210.808,,-3.9243,26.8104,177.042,210.808,QC'd by InterBioScreen
297,17512640,135517094,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000589341-01,,Activator,6.3096,152.905,,Partial curve; high efficacy,-5.2,1.8265,0.9945,149.345,-3.5598,2.1,0 0 0 0,138.282,,0.9739,-1.2227,78.4659,138.282,QC'd by InterBioScreen
298,17512657,135517096,Active,97,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000590901-01,,Activator,2.5119,312.548,,Complete curve; high efficacy,-5.6,4.9549,0.9143,301.291,-11.2574,1.1,0 0 0 0,237.086,,1.4535,-12.5178,363.878,237.086,QC'd by InterBioScreen
299,17512738,3784095,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000589330-01,,Activator,10,106.963,,Partial curve; high efficacy,-5,4.9549,0.9755,102.373,-4.5899,2.1,0 0 0 0,102.169,,5.5431,-14.5215,7.144,102.169,QC'd by InterBioScreen
300,17512848,135484398,Active,55,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000590824-01,,Activator,10,571.63,,Partial curve; high efficacy,-5,3.5117,0.9999,582.957,11.3269,2.1,0 0 0 0,574.908,,11.4513,8.5649,119.654,574.908,QC'd by InterBioScreen
301,17512853,5513811,Active,51,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000590870-01,,Activator,3.1623,222.789,,Partial curve; high efficacy,-5.5,3.9295,1,223.057,0.2684,2.1,0 0 0 1,7.3817,,-0.6592,7.4685,211.229,7.3817,QC'd by InterBioScreen
302,17512950,135444340,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000580296-01,,Activator,15.8489,204.781,,Partial curve; high efficacy,-4.8,4.9549,0.9997,214.846,10.0646,2.1,0 0 0 0,209.401,,8.1092,12.0978,12.6557,209.401,QC'd by InterBioScreen
303,17513090,135517111,Active,41,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000592191-01,,Activator,14.1254,73.4575,,Partial curve; partial efficacy,-4.85,2.9523,0.9521,77.9858,4.5283,2.2,0 0 0 0,72.2065,,-4.2891,13.7516,11.8401,72.2065,QC'd by InterBioScreen
304,17513188,1875186,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000590707-01,,Activator,12.5893,114.321,,Partial curve; high efficacy,-4.9,4.5045,0.9791,123.334,9.0134,2.1,0 0 0 0,121.631,,18.6807,-1.1885,14.5294,121.631,QC'd by InterBioScreen
305,17513204,135517114,Active,89,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000588514-01,,Activator,3.1623,199.943,,Complete curve; high efficacy,-5.5,2.4729,0.9999,183.584,-16.3597,1.1,0 0 0 0,183.217,,-16.1249,4.5238,154.314,183.217,QC'd by InterBioScreen
306,17513235,135517118,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000580378-01,,Activator,11.2202,160.637,,Partial curve; high efficacy,-4.95,1.3437,1,170.951,10.314,2.1,1 0 0 0,140.354,,30.6147,19.0124,62.8208,140.354,QC'd by InterBioScreen
307,17513287,1883073,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000590710-01,,Activator,14.1254,167.91,,Partial curve; high efficacy,-4.85,1.2475,0.9946,173.738,5.8286,2.1,0 0 0 0,132.221,,2.6964,19.5067,50.9353,132.221,QC'd by InterBioScreen
308,17513407,135429731,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000588507-01,,Activator,11.2202,73.0293,,Partial curve; partial efficacy,-4.95,4.095,0.9996,76.2436,3.2143,2.2,0 0 0 0,75.2707,,3.9286,2.4142,9.957,75.2707,QC'd by InterBioScreen
309,17513509,12005717,Active,60,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000590473-01,,Activator,3.1623,403.214,,Partial curve; high efficacy,-5.5,3.9295,1,402.584,-0.6291,2.1,0 0 0 1,-15.1463,,-0.5243,12.5619,381.235,-15.1463,QC'd by InterBioScreen
310,17513558,1880649,Active,48,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000590714-01,,Activator,4.4668,176.247,,Partial curve; high efficacy,-5.35,2.4064,0.9997,181.421,5.1742,2.1,0 0 0 0,178.916,,6.4416,12.9983,133.268,178.916,QC'd by InterBioScreen
311,17513816,1050416,Active,49,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000589431-01,,Activator,14.1254,488.502,,Partial curve; high efficacy,-4.85,4.9549,1,486.777,-1.7241,2.1,0 0 0 0,480.057,,-0.0337,-3.4513,9.5984,480.057,QC'd by InterBioScreen
312,17513878,135517143,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000591346-01,,Activator,10,119.041,,Partial curve; high efficacy,-5,2.4064,0.9974,118.698,-0.3431,2.1,0 0 0 0,111.768,,2.2241,-3.1591,32.6287,111.768,QC'd by InterBioScreen
313,17514127,135517152,Active,49,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000590165-01,,Activator,10,364.784,,Partial curve; high efficacy,-5,2.8473,0.9998,362.269,-2.516,2.1,0 0 0 0,351.035,,0.8591,-3.5742,82.3857,351.035,QC'd by InterBioScreen
314,17514266,12005792,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000697077-01,,Activator,2.8184,85.6852,,Partial curve; high efficacy,-5.55,3.9295,1,96.8271,11.1419,2.1,0 0 0 1,26.8308,,10.9857,15.434,93.8247,26.8308,QC'd by Life Chemicals
315,17514500,135517165,Active,52,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000697034-01,,Activator,3.1623,251.991,,Partial curve; high efficacy,-5.5,1.9887,0.9999,245.603,-6.3888,2.1,0 0 0 1,-92.9929,,-3.6457,30.4501,197.748,-92.9929,QC'd by Life Chemicals
316,17514512,135517166,Active,50,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696999-01,,Activator,4.4668,229.981,,Partial curve; high efficacy,-5.35,2.7202,0.9994,228.842,-1.1384,2.1,0 0 0 0,229.761,,2.0826,3.8205,167.827,229.761,QC'd by Life Chemicals
317,17514518,4549057,Active,52,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696980-01,,Activator,3.1623,234.143,,Partial curve; high efficacy,-5.5,4.095,1,233.65,-0.4931,2.1,0 0 0 1,2.0809,,-0.4109,6.0546,222.524,2.0809,QC'd by Life Chemicals
318,17514623,9634772,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000724705-01,,Activator,11.2202,67.9568,,Partial curve; partial efficacy,-4.95,4.095,0.9899,67.6836,-0.2732,2.2,0 0 0 0,66.8706,,3.7271,-4.3437,6.4361,66.8706,QC'd by Life Chemicals
319,17514810,7245310,Active,52,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000722983-01,,Activator,1.5849,171.666,,Partial curve; high efficacy,-5.8,1.7885,0.9999,181.622,9.9557,2.1,0 0 0 1,77.2887,,15.944,82.7857,169.108,77.2887,QC'd by Life Chemicals
320,17515041,4343540,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000722986-01,,Activator,10,101.084,,Partial curve; high efficacy,-5,4.9549,0.9915,98.1418,-2.9425,2.1,0 0 0 0,97.9459,,-8.6714,2.4461,8.0335,97.9459,QC'd by Life Chemicals
321,17515384,3164038,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696590-01,,Activator,3.5481,147.234,,Partial curve; high efficacy,-5.45,2.9523,1,150.216,2.9814,2.1,1 0 0 1,-0.4892,,122.226,10.4636,129.72,-0.4892,QC'd by Life Chemicals
322,17515756,12006134,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696579-01,,Activator,8.9125,77.1038,,Partial curve; partial efficacy,-5.05,1.9673,0.9911,76.9363,-0.1674,2.2,0 0 0 0,71.9964,,3.7043,-2.2829,26.4653,71.9964,QC'd by Life Chemicals
323,17515757,12006135,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696580-01,,Activator,7.9433,110.011,,Partial curve; high efficacy,-5.1,1.8851,0.9694,111.913,1.902,2.1,0 0 0 0,103.623,,12.2539,-4.7359,47.0739,103.623,QC'd by Life Chemicals
324,17515812,12006154,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696689-01,,Activator,10,170.142,,Partial curve; high efficacy,-5,3.99,0.9974,157.085,-13.0565,2.1,0 0 0 0,155.838,,-8.4091,-18.1291,15.426,155.838,QC'd by Life Chemicals
325,17515824,12006167,Active,84,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696648-01,,Activator,3.9811,87.1202,,Complete curve; high efficacy,-5.4,4.4495,0.9901,93.8642,6.7441,1.1,0 0 0 0,94.2412,,12.7401,1.6819,85.4503,94.2412,QC'd by Life Chemicals
326,17515830,12006169,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696639-01,,Activator,5.6234,151.92,,Partial curve; high efficacy,-5.25,2.4064,0.9958,151.888,-0.032,2.1,0 0 0 0,148.91,,4.1528,-1.2782,94.2202,148.91,QC'd by Life Chemicals
327,17515852,12006186,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696599-01,,Activator,10,94.0068,,Partial curve; high efficacy,-5,3.99,0.9994,95.018,1.0112,2.1,0 0 0 0,94.2639,,-0.4326,1.9949,16.51,94.2639,QC'd by Life Chemicals
328,17515853,12006187,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696589-01,,Activator,5.0119,119.41,,Partial curve; high efficacy,-5.3,3.0654,0.9993,117.376,-2.0341,2.1,0 0 0 0,115.755,,-1.6951,-0.8175,83.5384,115.755,QC'd by Life Chemicals
329,17515855,12006188,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696699-01,,Activator,7.9433,87.0289,,Partial curve; partial efficacy,-5.1,1.6604,0.9994,82.5666,-4.4623,2.2,0 0 0 0,74.5987,,-3.848,-1.4318,33.1711,74.5987,QC'd by Life Chemicals
330,17515880,12006204,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000696569-01,,Activator,7.9433,134.38,,Partial curve; high efficacy,-5.1,1.9673,0.9942,135.461,1.0802,2.1,0 0 0 0,127.552,,6.6281,-0.703,56.0485,127.552,QC'd by Life Chemicals
331,17515927,2124187,Active,55,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000335877-01,,Activator,3.9811,323.519,,Partial curve; high efficacy,-5.4,4.9549,1,329.478,5.9585,2.1,0 0 0 1,5.887,,7.1455,7.4643,305.072,5.887,QC'd by Enamine
332,17516153,6907378,Active,45,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000334647-01,,Activator,11.2202,193.365,,Partial curve; high efficacy,-4.95,2.9023,0.9946,200.824,7.4589,2.1,0 0 0 0,192.36,,-0.203,16.0005,41.69,192.36,QC'd by Enamine
333,17516203,2125699,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000335933-01,,Activator,12.5893,84.3377,,Partial curve; partial efficacy,-4.9,1.4163,0.9939,91.3717,7.034,2.2,0 0 0 0,74.384,,5.0637,13.5099,29.6457,74.384,QC'd by Enamine
334,17516552,2527791,Active,49,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000417912-01,,Activator,14.1254,490.514,,Partial curve; high efficacy,-4.85,4.9549,1,490.6,0.0864,2.1,0 0 0 0,483.827,,-1.952,0.6475,10.4788,483.827,QC'd by Enamine
335,17516673,3406543,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000391202-01,,Activator,12.5893,143.965,,Partial curve; high efficacy,-4.9,4.095,0.9972,162.907,18.942,2.1,0 0 0 0,159.713,,14.005,22.8891,28.8891,159.713,QC'd by Enamine
336,17516685,2324620,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000374472-01,,Activator,5.0119,81.3356,,Partial curve; partial efficacy,-5.3,1.2221,0.9919,68.703,-12.6326,2.2,0 0 0 0,63.9321,,-12.1072,3.8191,31.9816,63.9321,QC'd by Enamine
337,17517176,3892660,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000391175-01,,Activator,2.5119,123.423,,Partial curve; high efficacy,-5.6,2.3332,1,120.828,-2.5947,2.1,0 0 0 1,1.7787,,-2.1623,19.9019,108.854,1.7787,QC'd by Enamine
338,17517197,9629893,Active,44,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000389758-01,,Activator,7.9433,104.754,,Partial curve; high efficacy,-5.1,1.8265,0.9834,121.24,16.4863,2.1,0 0 0 0,112.259,,22.2883,12.5337,62.856,112.259,QC'd by Enamine
339,17517206,2378329,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000392626-01,,Activator,4.4668,126.151,,Partial curve; high efficacy,-5.35,4.9549,0.9984,136.806,10.655,2.1,0 0 0 1,20.6876,,13.2773,8.4818,120.64,20.6876,QC'd by Enamine
340,17517212,5080063,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000392611-01,,Activator,12.5893,121.151,,Partial curve; high efficacy,-4.9,4.095,0.9976,120.331,-0.8203,2.1,0 0 0 0,117.971,,2.1757,-4.7752,7.5803,117.971,QC'd by Enamine
341,17517229,2337386,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000392644-01,,Activator,12.5893,121.768,,Partial curve; high efficacy,-4.9,4.9549,0.9967,125.107,3.3396,2.1,0 0 0 0,124.114,,-0.8622,7.5223,7.8459,124.114,QC'd by Enamine
342,17517335,9626658,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000392647-01,,Activator,15.8489,144.674,,Partial curve; high efficacy,-4.8,1.9887,0.9866,156.647,11.9726,2.1,0 0 0 0,131.195,,5.1677,21.8483,33.6844,131.195,QC'd by Enamine
343,22400493,852394,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000700241-01,,Activator,11.2202,251.666,,Partial curve; high efficacy,-4.95,1.9887,0.9999,253.937,2.2701,2.1,0 0 0 0,227.542,,0.5271,6.5915,67.2023,227.542,QC'd by Specs
344,22400512,5995876,Active,49,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000586523-01,,Activator,12.5893,431.993,,Partial curve; high efficacy,-4.9,4.095,0.9999,433.872,1.879,2.1,0 0 0 0,425.364,,-0.2074,3.7658,30.7966,425.364,QC'd by Chem Div
